able	abler	ablest
ample	ampler	amplest
angry	angrier	angriest
apt	apter	aptest
bad	worse	worst
bald	balder	baldest
balmy	balmier	balmiest
bandy	bandier	bandiest
bare	barer	barest
base	baser	basest
bawdy	bawdier	bawdiest
beastly	beastlier	beastliest
beefy	beefier	beefiest
beery	beerier	beeriest
big	bigger	biggest
bitchy	bitchier	bitchiest
black	blacker	blackest
bland	blander	blandest
bleak	bleaker	bleakest
blond	blonder	blondest
bloody	bloodier	bloodiest
blue	bluer	bluest
blunt	blunter	bluntest
boggy	boggier	boggiest
bold	bolder	boldest
bonny	bonnier	bonniest
bony	bonier	boniest
boozy	boozier	booziest
bossy	bossier	bossiest
brainy	brainier	brainiest
branchy	branchier	branchiest
brash	brasher	brashest
brassy	brassier	brassiest
brave	braver	bravest
brawny	brawnier	brawniest
breezy	breezier	breeziest
brief	briefer	briefest
bright	brighter	brightest
briny	brinier	briniest
brisk	brisker	briskest
bristly	bristlier	bristliest
broad	broader	broadest
broody	broodier	broodiest
brown	browner	brownest
bubbly	bubblier	bubbliest
bulky	bulkier	bulkiest
bumpy	bumpier	bumpiest
burly	burlier	burliest
busy	busier	busiest
calm	calmer	calmest
canny	cannier	canniest
catchy	catchier	catchiest
catty	cattier	cattiest
chalky	chalkier	chalkiest
chatty	chattier	chattiest
cheap	cheaper	cheapest
cheeky	cheekier	cheekiest
chilly	chillier	chilliest
choosy	choosier	choosiest
choppy	choppier	choppiest
chubby	chubbier	chubbiest
chummy	chummier	chummiest
chunky	chunkier	chunkiest
civil	civiller	civillest
clammy	clammier	clammiest
classy	classier	classiest
clean	cleaner	cleanest
cleanly	cleanlier	cleanliest
clear	clearer	clearest
clever	cleverer	cleverest
cloggy	cloggier	cloggiest
close	closer	closest
cloudy	cloudier	cloudiest
clumsy	clumsier	clumsiest
coarse	coarser	coarsest
cocky	cockier	cockiest
cold	colder	coldest
comely	comelier	comeliest
comfy	comfier	comfiest
common	commoner	commonest
cool	cooler	coolest
corny	cornier	corniest
costly	costlier	costliest
cosy	cosier	cosiest
courtly	courtlier	courtliest
coy	coyer	coyest
cozy	cozier	coziest
crafty	craftier	craftiest
craggy	craggier	craggiest
cranky	crankier	crankiest
crazy	crazier	craziest
creaky	creakier	creakiest
creamy	creamier	creamiest
creepy	creepier	creepiest
crinkly	crinklier	crinkliest
crisp	crisper	crispest
crude	cruder	crudest
cruel	crueller	cruellest
crumbly	crumblier	crumbliest
crusty	crustier	crustiest
cuddly	cuddlier	cuddliest
curly	curlier	curliest
cushy	cushier	cushiest
cute	cuter	cutest
daft	dafter	daftest
dainty	daintier	daintiest
damp	damper	dampest
dank	danker	dankest
dark	darker	darkest
deadly	deadlier	deadliest
deaf	deafer	deafest
dear	dearer	dearest
deep	deeper	deepest
dense	denser	densest
dewy	dewier	dewiest
dim	dimmer	dimmest
